From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Length,Interacts with
LPAR2,Q9HBW0,reviewed,LPAR2_HUMAN,Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4),LPAR2 EDG4 LPA2,348,P13569; Q15599
LPAR2,K7EJJ9,unreviewed,K7EJJ9_HUMAN,Lysophosphatidic acid receptor 2,LPAR2,22,
LPAR2,K7ELJ6,unreviewed,K7ELJ6_HUMAN,Lysophosphatidic acid receptor 2,LPAR2,71,
LPAR2,K7ENG7,unreviewed,K7ENG7_HUMAN,Lysophosphatidic acid receptor 2,LPAR2,17,
LPAR2,K7ER68,unreviewed,K7ER68_HUMAN,Lysophosphatidic acid receptor 2,LPAR2,77,
LPAR2,L8E990,unreviewed,L8E990_HUMAN,Alternative protein LPAR2,LPAR2,55,
IL2,P60568,reviewed,IL2_HUMAN,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin),IL2,153,P01589; P14784
IL2,Q0GK43,unreviewed,Q0GK43_HUMAN,Interleukin-2 (IL-2),IL2 hCG_38828,153,
IL2,Q13169,unreviewed,Q13169_HUMAN,Interleukin-2 (IL-2),IL2,156,
IL2,Q16334,unreviewed,Q16334_HUMAN,Interleukin-2 (IL-2),IL-2 IL2,139,
IL2,Q309Q7,unreviewed,Q309Q7_HUMAN,Interleukin-2 (IL-2),IL2,133,
IL2,Q6NZ91,unreviewed,Q6NZ91_HUMAN,Interleukin-2 (IL-2),IL2,153,
IL2,Q6NZ93,unreviewed,Q6NZ93_HUMAN,Interleukin-2 (IL-2),IL2,153,
IL2,Q6QWN0,unreviewed,Q6QWN0_HUMAN,Interleukin-2 (IL-2),IL2,133,
IL2,Q71V48,unreviewed,Q71V48_HUMAN,Interleukin-2 (IL-2),IL2,38,
IL2,Q7Z7M3,unreviewed,Q7Z7M3_HUMAN,Interleukin-2 (IL-2),IL2,133,
IL2,Q8NFA4,unreviewed,Q8NFA4_HUMAN,Interleukin-2 (IL-2),IL2,37,
IL2,Q9C001,unreviewed,Q9C001_HUMAN,Interleukin-2 (IL-2),IL2,150,
HNRNPA1,P09651,reviewed,ROA1_HUMAN,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",HNRNPA1 HNRPA1,372,P22626; P51991; P07910; P31942; Q07666; Q14141; Q9UHD9; PRO_0000037577 [P27958]; P09651-2; O00233; Q92973; Q9UHD9
HNRNPA1,A0A7I2V2F1,unreviewed,A0A7I2V2F1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,55,
HNRNPA1,A0A7I2V2L6,unreviewed,A0A7I2V2L6_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,242,
HNRNPA1,A0A7I2V2M7,unreviewed,A0A7I2V2M7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,104,
HNRNPA1,A0A7I2V2Q7,unreviewed,A0A7I2V2Q7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,96,
HNRNPA1,A0A7I2V2R4,unreviewed,A0A7I2V2R4_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,78,
HNRNPA1,A0A7I2V2W8,unreviewed,A0A7I2V2W8_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,67,
HNRNPA1,A0A7I2V2X1,unreviewed,A0A7I2V2X1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,61,
HNRNPA1,A0A7I2V2Z4,unreviewed,A0A7I2V2Z4_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,48,
HNRNPA1,A0A7I2V334,unreviewed,A0A7I2V334_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,83,
HNRNPA1,A0A7I2V360,unreviewed,A0A7I2V360_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,108,
HNRNPA1,A0A7I2V3C7,unreviewed,A0A7I2V3C7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,54,
HNRNPA1,A0A7I2V3F4,unreviewed,A0A7I2V3F4_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,31,
HNRNPA1,A0A7I2V3J5,unreviewed,A0A7I2V3J5_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,46,
HNRNPA1,A0A7I2V3K5,unreviewed,A0A7I2V3K5_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,77,
HNRNPA1,A0A7I2V3R8,unreviewed,A0A7I2V3R8_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,319,
HNRNPA1,A0A7I2V3S1,unreviewed,A0A7I2V3S1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,70,
HNRNPA1,A0A7I2V3U8,unreviewed,A0A7I2V3U8_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,54,
HNRNPA1,A0A7I2V3U9,unreviewed,A0A7I2V3U9_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,14,
HNRNPA1,A0A7I2V3W0,unreviewed,A0A7I2V3W0_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,326,
HNRNPA1,A0A7I2V3W4,unreviewed,A0A7I2V3W4_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,58,
HNRNPA1,A0A7I2V434,unreviewed,A0A7I2V434_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,42,
HNRNPA1,A0A7I2V453,unreviewed,A0A7I2V453_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,83,
HNRNPA1,A0A7I2V459,unreviewed,A0A7I2V459_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,97,
HNRNPA1,A0A7I2V497,unreviewed,A0A7I2V497_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,32,
HNRNPA1,A0A7I2V4E2,unreviewed,A0A7I2V4E2_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,65,
HNRNPA1,A0A7I2V4F8,unreviewed,A0A7I2V4F8_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,99,
HNRNPA1,A0A7I2V4M0,unreviewed,A0A7I2V4M0_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,53,
HNRNPA1,A0A7I2V4P7,unreviewed,A0A7I2V4P7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,60,
HNRNPA1,A0A7I2V4R7,unreviewed,A0A7I2V4R7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,28,
HNRNPA1,A0A7I2V520,unreviewed,A0A7I2V520_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,97,
HNRNPA1,A0A7I2V595,unreviewed,A0A7I2V595_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,12,
HNRNPA1,A0A7I2V5H0,unreviewed,A0A7I2V5H0_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,56,
HNRNPA1,A0A7I2V5L7,unreviewed,A0A7I2V5L7_HUMAN,Heterogeneous nuclear ribonucleoprotein A1,HNRNPA1,83,
